
1,1,35,9,647
2,2,34,29,618
3,3,33,21,597
4,4,32,14,583
5,5,31,10,573
6,6,30,8,565
7,7,29,22,543
8,8,28,18,525
9,9,27,16,509
10,10,26,13,496
11,11,25,33,463
12,12,24,2,461
13,13,23,24,437
14,14,23,24,437
15,15,23,24,437
16,16,22,36,401
17,17,21,11,390
18,18,20,5,385
19,19,19,7,378
20,20,18,23,355
21,21,18,14,355
22,21,18,3,361
23,22,18,8,361
24,22,18,9,381
25,23,18,33,381
26,24,18,10,381
27,25,18,18,381
28,25,18,29,373
29,26,18,33,373
30,27,18,5,373
31,28,18,29,373
32,29,18,18,373
33,26,18,31,364
34,27,18,33,364
35,28,18,16,364
36,26,18,15,362
37,25,18,22,342
38,26,18,18,342
39,24,18,34,332
40,25,18,23,332
41,25,18,19,349
42,26,18,34,349
43,27,18,33,349
44,28,18,19,349
45,28,18,20,350
46,29,18,14,350
47,28,18,12,345
48,26,18,4,344
49,27,18,5,344
50,28,18,5,344
51,29,18,5,344
52,30,18,12,344
53,31,18,15,344
54,32,18,16,344
55,33,18,29,344
56,34,18,20,344
57,35,18,8,344
58,36,18,18,344
59,35,18,11,342
60,36,18,19,342
61,37,18,31,342
62,36,18,35,317
63,37,18,34,317
64,27,18,27,312
65,28,18,16,312
66,29,18,18,312
67,27,18,3,332
68,25,18,26,339
69,26,18,27,339
70,24,18,21,332
71,23,18,10,326
72,24,18,5,326
73,25,18,10,326
74,22,18,33,305
75,22,18,12,308
76,21,18,28,309
77,22,18,21,309
78,23,18,3,309
79,24,18,10,309
80,25,18,3,309
81,26,18,11,309
82,26,18,32,287
83,26,18,9,286
84,27,18,27,286
85,25,18,29,276
86,25,18,6,301
87,26,18,5,301
88,26,18,23,313
89,27,18,23,313
90,27,18,14,333
91,26,18,24,325
92,27,18,27,325
93,28,18,0,325
94,28,18,15,328
95,29,18,14,328
96,28,18,25,329
97,29,18,12,329
98,24,18,34,328
99,25,18,25,328
100,24,18,2,354
101,24,18,7,368
102,25,18,5,368
103,26,18,12,368
104,27,18,24,368
105,28,18,9,368
106,27,18,16,362
107,28,18,9,362
108,29,18,34,362
109,29,18,22,343
110,30,18,15,343
111,30,18,21,333
112,30,18,20,355
113,28,18,3,381
114,28,18,1,386
115,26,18,19,390
116,27,18,2,390
117,25,18,36,381
118,26,18,22,381
119,27,18,14,381
120,21,18,27,379
121,20,18,17,369
122,20,18,10,364
123,21,18,12,364
124,20,18,7,381
125,19,18,5,392
126,19,18,26,375
127,20,18,15,375
128,21,18,19,375
129,22,18,15,375
130,22,18,8,401
131,20,18,13,409
132,21,18,5,409
133,22,18,20,409
134,21,18,4,408
135,21,18,21,388
136,22,18,19,388
137,23,18,14,388
138,24,18,7,388
139,25,18,19,388
140,24,18,31,359
141,24,18,33,362
142,25,18,27,362
143,26,18,5,362
144,27,18,17,362
145,28,18,0,362
146,28,18,2,382
147,25,18,24,368
148,26,18,0,368
149,27,18,5,368
150,27,18,35,345
151,25,18,6,365
152,26,18,27,365
153,27,18,5,365
154,28,18,20,365
155,26,18,34,346
156,26,18,16,338
157,26,18,22,329
158,24,18,18,315
159,25,18,0,315
160,26,18,31,315
161,27,18,19,315
162,28,18,33,315
163,29,18,14,315
164,30,18,27,315
165,31,18,14,315
166,32,18,0,315
167,32,18,9,327
168,30,18,32,302
169,25,18,21,298
170,26,18,31,298
171,27,18,22,298
172,28,18,2,298
173,26,18,28,294
174,24,18,7,322
175,25,18,33,322
176,26,18,31,322
177,27,18,28,322
178,28,18,7,322
179,29,18,2,322
180,30,18,0,322
181,30,18,8,320
182,31,18,34,320
183,30,18,10,315
184,30,18,24,301
185,29,18,1,316
186,28,18,26,308
187,29,18,32,308
188,27,18,5,322
189,25,18,17,332
190,25,18,30,316
191,24,18,35,290
192,23,18,13,298
193,22,18,9,311
194,19,18,12,332
195,19,18,16,347
196,19,18,22,353
197,19,18,15,345
198,19,18,36,311
199,20,18,34,311
200,19,18,19,300
201,20,18,26,300
202,21,18,9,300
203,20,18,18,292
204,21,18,30,292
205,22,18,12,292
206,22,18,20,306
207,23,18,13,306
208,24,18,16,306
209,25,18,30,306
210,25,18,8,299
211,26,18,22,299
212,27,18,30,299
213,26,18,2,329
214,26,18,11,323
215,26,18,4,336
216,27,18,9,336
217,28,18,26,336
218,27,18,28,343
219,22,18,27,331
220,22,18,29,338
221,22,18,25,347
222,22,18,33,333
223,20,18,17,334
224,19,18,23,323
225,20,18,2,323
226,20,18,19,314
227,20,18,20,317
228,20,18,1,332
