
1,1,35,10,646
2,2,34,28,618
3,3,33,35,583
4,4,32,13,570
5,5,31,19,551
6,6,30,16,535
7,7,29,22,513
8,8,28,17,496
9,9,27,27,469
10,10,26,34,435
11,11,25,6,429
12,12,24,8,421
13,13,24,22,421
14,14,23,30,391
15,15,22,26,365
16,16,22,22,365
17,17,22,30,365
18,18,21,2,363
19,19,20,9,354
20,20,19,21,333
21,21,19,9,333
22,22,19,30,333
23,23,19,22,333
24,24,19,27,333
25,25,19,28,333
26,26,19,0,333
27,27,19,34,333
28,28,18,18,315
29,29,18,28,315
30,30,18,30,315
31,31,18,16,315
32,32,18,28,315
33,32,18,11,314
34,31,18,25,324
35,31,18,12,325
36,32,18,11,325
37,33,18,6,325
38,34,18,0,325
39,35,18,2,325
40,36,18,19,325
41,33,18,1,341
42,30,18,10,339
43,31,18,16,339
44,29,18,4,361
45,25,18,29,353
46,25,18,24,338
47,26,18,16,338
48,27,18,16,338
49,28,18,24,338
50,29,18,34,338
51,30,18,0,338
52,31,18,27,338
53,32,18,12,338
54,33,18,2,338
55,34,18,22,338
56,35,18,24,338
57,29,18,15,341
58,30,18,16,341
59,31,18,2,341
60,30,18,35,336
61,31,18,6,336
62,32,18,1,336
63,33,18,0,336
64,34,18,1,336
65,35,18,25,336
66,34,18,18,346
67,35,18,25,346
68,32,18,32,325
69,29,18,5,339
70,28,18,33,316
71,27,18,9,311
72,27,18,13,327
73,23,18,29,332
74,24,18,27,332
75,22,18,26,318
76,23,18,32,318
77,22,18,10,330
78,23,18,1,330
79,24,18,1,330
80,25,18,15,330
81,25,18,20,344
82,26,18,0,344
83,25,18,14,346
84,25,18,21,327
85,25,18,17,345
86,25,18,16,335
87,26,18,32,335
88,27,18,29,335
89,23,18,19,334
90,23,18,22,337
91,22,18,3,339
92,23,18,20,339
93,24,18,10,339
94,24,18,35,337
95,24,18,11,335
96,24,18,18,330
97,25,18,22,330
98,26,18,32,330
99,27,18,14,330
100,26,18,13,344
101,26,18,12,358
102,23,18,28,331
103,23,18,1,345
104,20,18,24,342
105,21,18,24,342
106,22,18,29,342
107,23,18,14,342
108,23,18,8,351
109,24,18,28,351
110,24,18,23,344
111,25,18,14,344
112,26,18,32,344
113,24,18,21,342
114,25,18,29,342
115,26,18,1,342
116,25,18,5,340
117,25,18,36,314
118,25,18,7,317
119,25,18,2,350
120,25,18,31,330
121,26,18,12,330
122,27,18,14,330
123,28,18,2,330
124,28,18,34,314
125,29,18,32,314
126,30,18,29,314
127,31,18,31,314
128,31,18,15,321
129,29,18,10,324
130,30,18,1,324
131,26,18,33,315
132,24,18,16,307
133,24,18,8,327
134,24,18,4,346
135,25,18,29,346
136,26,18,0,346
137,27,18,7,346
138,28,18,2,346
139,26,18,20,357
140,27,18,32,357
141,25,18,24,338
142,25,18,27,347
143,22,18,28,331
144,22,18,30,315
145,23,18,32,315
146,24,18,34,315
147,20,18,13,333
148,20,18,12,336
149,20,18,17,329
150,20,18,6,324
151,20,18,25,332
152,21,18,17,332
153,22,18,16,332
154,23,18,4,332
155,24,18,32,332
156,25,18,24,332
157,24,18,15,325
158,23,18,33,321
159,24,18,24,321
160,25,18,25,321
161,24,18,1,327
162,24,18,3,326
163,24,18,11,325
164,22,18,21,331
165,23,18,4,331
166,23,18,36,323
167,24,18,24,323
168,25,18,13,323
169,25,18,20,343
170,24,18,14,363
171,25,18,12,363
172,22,18,26,343
173,21,18,35,325
174,21,18,22,319
175,22,18,21,319
176,21,18,30,321
177,22,18,21,321
178,21,18,2,334
179,22,18,22,334
180,22,18,15,352
181,23,18,12,352
182,24,18,0,352
183,25,18,30,352
184,24,18,31,346
185,25,18,3,346
186,25,18,7,340
187,26,18,21,340
188,25,18,1,350
189,26,18,36,350
190,27,18,35,350
191,26,18,23,331
192,27,18,35,331
193,26,18,33,322
194,26,18,4,331
195,26,18,11,330
196,27,18,33,330
197,27,18,24,320
198,26,18,14,332
199,27,18,14,332
200,28,18,14,332
201,29,18,35,332
202,30,18,1,332
203,31,18,0,332
204,32,18,0,332
205,27,18,19,315
206,28,18,7,315
207,29,18,11,315
208,29,18,16,321
209,29,18,5,331
210,29,18,6,337
211,30,18,5,337
212,31,18,7,337
213,32,18,21,337
214,31,18,25,342
215,31,18,2,371
216,31,18,27,347
217,32,18,6,347
218,33,18,0,347
219,30,18,8,375
220,29,18,13,385
221,30,18,6,385
222,31,18,7,385
223,32,18,24,385
224,30,18,9,380
225,29,18,29,384
226,30,18,5,384
227,31,18,6,384
228,28,18,12,386
229,29,18,7,386
230,30,18,13,386
231,31,18,16,386
232,31,18,23,398
233,32,18,19,398
234,33,18,27,398
235,34,18,1,398
236,29,18,32,377
237,30,18,12,377
238,25,18,4,394
239,26,18,12,394
240,27,18,27,394
241,27,18,17,402
242,28,18,32,402
243,29,18,27,402
244,29,18,30,374
245,26,18,11,371
246,27,18,7,371
247,28,18,0,371
248,29,18,27,371
249,26,18,8,387
250,27,18,9,387
251,28,18,5,387
252,27,18,26,390
253,28,18,30,390
254,29,18,1,390
255,30,18,5,390
256,29,18,36,360
257,30,18,16,360
258,31,18,17,360
259,32,18,8,360
260,33,18,26,360
261,34,18,4,360
